gene	p-value	label
SMPD2	0.0002843701626245	0
LBP	0.0002934773488395	0
F2R	0.0002957402701782	0
ANXA1	0.0002976829172052	0
BEX1	0.0003098539249166	0
ITGB3	0.0003149701460212	0
SPHKAP	0.0003160978338623	0
GBF1	0.0003254433620272	0
WASL	0.0003257460714595	0
TMBIM4	0.0003278224602373	0
LIMK1	0.0003440932382439	1
USH1C	0.0003496778619848	0
IL18	0.0003731879259715	0
TMOD1	0.000383651639811	-1
PABPC1	0.000391798937076	0
RPS20	0.0003919509127881	0
FLT4	0.0003992448765575	0
ARNT	0.0004017053815513	0
FCAMR	0.0004072215359868	0
EIF2AK3	0.0004181170460914	0
CHRNB1	0.000447075024185	0
SMAD5	0.0004562902203633	-1
SHISA5	0.0004746403793552	0
SLC2A4	0.0004750722995198	0
DPF2	0.0004804849268614	0
PTEN	0.0005057195563377	1
SMAD1	0.0005120460718301	0
CORIN	0.0005233224618568	0
EIF2B1	0.0005446187902952	0
HPCA	0.0005835496913751	0
PI4K2B	0.0005892034072472	0
DGKZ	0.0005920510228087	0
RASD2	0.0006082533566591	0
APLP2	0.000615284919555	0
TP53INP1	0.0006292221092728	0
APTX	0.0006386364009076	0
TMEM201	0.0006411176079134	1
POLR1D	0.0006510271809156	0
IL6R	0.0006553109042635	0
MTHFSD	0.0006571104018739	0
ITK	0.0006630302397731	0
LRP1B	0.0006746029048739	1
CABLES2	0.0006884043934001	0
CTCF	0.0006975859689539	1
WDR5	0.0007306604096367	-1
EIF1AX	0.0007391431270603	0
SGK1	0.0007394674185387	0
GRIN2B	0.0007907987497765	0
IL6ST	0.0008059160615089	0
CABLES1	0.0008309574385201	0
F2RL3	0.0008411555147673	0
CAT	0.0008508200497099	0
GNAS	0.0008627754799764	1
HBEGF	0.0008644763096278	0
TBX2	0.0009076635614886	0
CPNE7	0.0009120611651581	0
PATZ1	0.0009138295982023	0
ZMIZ2	0.0009600623888641	0
EIF2B2	0.00096753777607	0
AIFM2	0.0009688672028434	-1
ANXA3	0.0009778538261844	0
RRM2B	0.0009947662746481	0
SMAD3	0.0009953385967993	0
YY2	0.0009999528857402	0
FBXO11	0.0010321796674876	0
TAX1BP3	0.0010445373262696	0
GJA1	0.0010462637479241	0
SMPD1	0.0010785926578075	0
FGF2	0.0010839454523077	0
WASF1	0.001137779249787	0
ZNF385A	0.0011462239167286	0
AGBL2	0.0011734765072884	0
PRDM1	0.0012155917135952	0
PHF20	0.0012385439126545	0
DMTF1	0.0012662307746873	0
GNA12	0.0012876637734251	0
TGFBR1	0.0013164002917535	0
MS4A2	0.0013371712341929	0
HGF	0.0013924175896321	0
NQO2	0.0014073326118809	0
FCER1A	0.0014095202326145	0
ICOS	0.0014128810000606	0
NPRL3	0.0014360667148878	0
KIT	0.0014694770115987	0
MFAP4	0.0014741125942606	0
PLD1	0.0015312058270944	0
NEDD9	0.0015411073664204	0
RNF34	0.0015464367647576	0
TNFRSF10C	0.0015535782967411	0
DUT	0.0015726893384126	0
JMY	0.0015948153995297	0
EDN1	0.0016153294878171	0
TMEFF2	0.0016419118175708	0
CCT4	0.0016567916289824	0
UBA3	0.0016571237920687	-1
APAF1	0.0016741707168869	0
MAP2K7	0.0016754706560738	1
PIGR	0.0017894837964082	0
TGFB3	0.0017950856484371	0
MAPK9	0.0018099243057959	0
ZNF302	0.0018163450137679	-1
RAP1B	0.0018185792924155	0
FBXO42	0.0018214763258563	0
CDK1	0.0018372869390204	0
ARHGAP5	0.0018400780584081	0
TIMP3	0.0018446354851977	0
CD40	0.0018516495322429	0
TGFB2	0.0018896808692548	0
IL2RG	0.0018935913010731	0
GNA13	0.0019042728174608	0
PDK2	0.0019068568686135	0
HAND2	0.0019124006663292	0
PLK3	0.0019540341421574	0
CAMK1G	0.0020300941556266	0
LAT	0.0020323885077723	0
HAND1	0.0020615663009246	0
CXCR4	0.0020621307574601	0
BANP	0.0021257180306407	0
APC	0.0021316529144011	1
HIF1A	0.0021466533086709	0
ARHGEF1	0.0021557038421938	0
GPX2	0.0021797431840269	0
FBP2	0.0021870507479035	0
HUS1	0.0021980043393429	0
FABP1	0.0021981010253049	0
MAP2K1	0.0022050111804547	1
IKZF3	0.002209680549643	0
TWIST1	0.0022298157707468	0
POLR1A	0.0022630255764399	0
CSF2RB	0.0022726650796811	0
FOXO1	0.0023267219030414	0
B2M	0.0023520712520798	0
EIF2S2	0.0023779192572543	0
DOCK1	0.0024538735883557	0
GPATCH8	0.0024691391827454	0
PPIF	0.0024970120736812	0
RPS6KA1	0.00251264506655	0
ILK	0.0025153562060584	0
RAP1A	0.0025197013317424	0
UBL7	0.0025608303766193	0
PTGS2	0.0025775505877625	0
ZNF514	0.002609937157608	-1
EIF4A1	0.0026630997647957	0
ITPKC	0.0026827892975133	0
RTCB	0.0026836645754999	0
PTPN7	0.0026990266117015	0
GAB1	0.0027084150036539	0
ATR	0.0027119162085975	0
TLN1	0.0027195681841845	0
NFYB	0.0027217651860471	0
TGFB1	0.0027306862718926	0
RALA	0.0027388704355978	0
RDH13	0.0027454423920208	-1
FOXO3	0.0027895415632377	0
OTUD5	0.0027943093097763	0
NTRK1	0.0028154016863732	0
DHCR24	0.0028600078296154	0
BAX	0.0028686511457092	0
ARHGEF17	0.0028701252765561	0
ZMIZ1	0.002936462901657	0
PTTG1IP	0.0030302127695603	0
PDGFRB	0.0031475592910193	0
ANKRD2	0.0032071050630173	0
WNT1	0.0032312728257721	0
ITPK1	0.0032377722546361	0
FBXW7	0.0032709423535921	1
BCAR1	0.003278752465029	0
SRF	0.0033241812633135	0
NMI	0.0033402946824371	0
F2	0.0033556838891942	0
EIF2S1	0.0033930871431962	0
GATA4	0.0034151262247185	0
IL6	0.0034525995165609	0
MYD88	0.0035218428035029	0
FOXO4	0.0035833464729835	0
RNF39	0.0035955368240142	0
EMC1	0.0036373581223969	0
FZD1	0.0036635099056127	0
LRRC59	0.0037216274659946	0
ERBB4	0.0037228113242513	0
KCTD17	0.0037245763674543	0
TFDP1	0.0037408318585391	0
CAPG	0.0037618244557387	0
INPPL1	0.0037982320219249	0
CAMK4	0.0038037601228687	0
SLC2A12	0.0038185186344782	0
SOCS3	0.0038311453999223	0
USP42	0.0038546053515299	0
CRKL	0.0039435230330828	0
ZBTB8A	0.0039569306003297	0
PHKB	0.0040721809121437	0
EIF2AK2	0.0040818103417989	-1
EIF4G2	0.004095089908866	0
BANF1	0.0041243486332366	0
AGT	0.0043102415594598	0
POLR1B	0.0043184293065149	0
MAP9	0.00432933579018	-1
CASP9	0.0044038968029722	0
NPPA	0.0044169591005917	0
MYH2	0.0044290604898282	0
