gene	p-value	label
SMYD3	0.2282782499323598	0
MAD2L2	0.2289158704499	0
FANK1	0.2299888483549763	1
SMU1	0.2300002175285188	1
TRMT61B	0.2301846411455732	0
TAF3	0.2311737545391923	0
ROR1	0.231330756927411	0
POLE2	0.2320337699612495	0
ZNF346	0.2321033537516436	0
UBL7	0.2324250017269729	0
CXXC1	0.2327518560370159	-1
EEF1A2	0.2329753825263651	0
POLR3B	0.2330229912375052	0
MTHFD2	0.2337200260286238	-1
ZEB1	0.2345401713766832	1
MOB1B	0.234849051821347	-1
POLR3E	0.2351113213068907	0
STX5	0.235952502054943	0
TAF13	0.2361827603675036	0
PSIP1	0.2372292571380999	0
ITGAV	0.2383014280024448	0
DNAJC11	0.2418991974473177	0
DDX52	0.2420903042856179	0
IBTK	0.2426933439305719	0
AMOT	0.2430405559348195	0
MOB1A	0.2430690239783734	-1
PLEKHO1	0.244681820991138	0
IFT140	0.2447833305833484	0
ADCK1	0.2453589033732513	1
NLK	0.246651040215918	-1
SNCB	0.2467060399695291	0
VPS26A	0.2471572329222857	0
CDC6	0.2478582449248633	0
LMTK2	0.2478637336407703	0
TTK	0.2482959879712529	0
WNT3A	0.2490284212646203	0
TAF7L	0.2492687374299673	0
PPME1	0.2493376351895878	0
TNRC6A	0.2499053249552277	1
GTF2H3	0.2505170874043194	0
XRCC2	0.2507347616888807	0
TNFAIP1	0.251006303500056	0
VIP	0.2510990704875853	0
TFDP2	0.251571979417698	0
TAF11	0.2521997262766403	0
DDX56	0.2522385038223886	0
ENGASE	0.2523294657207374	-1
BORA	0.2534715944752748	0
TSHR	0.2542683605470955	1
EIF4E3	0.2561240983552389	0
STAG1	0.2566576244125919	0
PHF20	0.2567191292720822	0
ARF5	0.2569409878216246	0
MED31	0.2569933224264255	-1
EIF6	0.2573755675285037	0
ARIH1	0.2591803362604568	0
MYB	0.259583739222952	0
DDX42	0.2595868773332668	0
TAF5	0.2610938670854228	0
UBR5	0.2612487187557419	0
FUS	0.2614096575375982	0
ANKRD44	0.2615100198331679	0
WRN	0.261556404348459	0
CRTAM	0.2621899512374773	1
NSUN4	0.2624909794491684	0
REPIN1	0.2627847514853028	-1
GTF3C2	0.2628068480935177	-1
ETF1	0.263354701833016	0
DNAJB2	0.2641004305332771	0
ANAPC7	0.2642889218578361	0
TOP3B	0.2644199860112544	0
POLR3D	0.2644664844873917	0
ADRM1	0.2648000934970042	0
SNRPC	0.2658732059378831	0
WEE2	0.2661191857867884	0
CDC20	0.2666259445107977	0
RPL18	0.2667325235568784	0
RNF2	0.2668867186251613	0
TAF7	0.2672986774516173	0
AK3	0.2678840498542285	0
PBRM1	0.2680451959449154	0
YBX3	0.2683073570880401	-1
DDX39A	0.2684108181049354	-1
VPS35	0.2687404659961587	0
DNAJB4	0.2688647391397749	0
DDX6	0.2688934516809255	0
IFT172	0.2696892250405582	0
FAM76B	0.2698225093083118	0
HABP4	0.2700570163738029	0
BLOC1S5	0.2701445855716456	0
WDR48	0.27031432888224	0
RPAP3	0.2709559974947543	0
FUZ	0.2711186628950838	0
MAD2L1	0.2711260268928709	0
SIRT3	0.2712561526253452	0
SPATA20	0.2712978518401622	0
TRAF7	0.2717494250345784	1
NUDCD2	0.2718658161165269	0
USP12	0.272026393693331	0
PRUNE2	0.2720423769660344	1
DNAJC8	0.2726477423564515	-1
MCM5	0.2729153915633205	0
GTF2H4	0.2732496930830358	0
RUVBL1	0.2732741497757867	0
MORF4L2	0.2739489502039992	-1
INTU	0.2747792423336308	0
IDH3A	0.2749198336110739	0
WDR1	0.2753813192323717	0
LRPPRC	0.275384328424525	0
TUBGCP3	0.2754094216439322	0
POLA2	0.2756542271415652	-1
DAPK3	0.2763936236354455	0
G3BP1	0.2767163145853226	0
DNAH1	0.2770602099158626	1
CLK2	0.2778724119624913	0
POLR3F	0.2782348516814518	0
PGF	0.2783241157239959	0
LEO1	0.2784741611926983	0
MAD1L1	0.278669934268527	0
WDR19	0.2790636648807316	0
GLI1	0.2793762215517383	0
LENG8	0.2801239145938757	0
BDP1	0.2808531415284155	0
MEN1	0.2808799364003613	0
FANCI	0.28132412206414	0
GTF2A2	0.2815602188981422	0
TTC33	0.282255213911059	0
MUS81	0.2822775781125938	0
SUDS3	0.2825058575696498	-1
DNAJB7	0.2825833688624041	0
DYRK1B	0.2830172266908163	0
GABARAP	0.2832888517669049	0
NSL1	0.2838422834103858	0
PEX14	0.2839713088450991	0
DDB1	0.2840551601373766	0
RMDN3	0.2841798804172153	-1
HEATR1	0.2846843741890017	-1
DDX39B	0.2848558337974476	0
BLM	0.28489320188434	0
CDK12	0.28501411583081	0
BRPF1	0.2851764916581651	0
DDX18	0.2854624453770653	0
USP38	0.2855217250240229	0
BBOX1	0.2856745874487176	0
NFKB2	0.285846664492815	0
XRCC3	0.2862059607939636	0
KSR2	0.2864278846424276	0
PSMA1	0.2874121403535808	0
PRKAA1	0.2877532428592845	0
NEFH	0.2878082879617642	1
SERBP1	0.287927170933312	0
ZNF512B	0.2879429942607293	0
RPS29	0.2884241944032754	0
SEC23B	0.2885073578125107	0
TOP3A	0.2886530072555375	0
GTF3C3	0.2892003281337414	0
RMI1	0.2895445212486283	0
GPHN	0.289872568172355	0
TP53BP1	0.2904596910549963	0
DNAJC2	0.2906732284725669	0
ASB2	0.2906932757356943	0
BRF1	0.2908987853702885	0
TAF6L	0.2909273247181663	-1
UBE2R2	0.2914503934608765	0
NKAP	0.2916533264039387	0
NSD1	0.2918953458527799	0
DSTYK	0.2919734332650538	0
HOXB9	0.2921897498992788	0
NLRC5	0.2924300253790486	0
MAP3K15	0.2926856330639683	0
POLR1D	0.2927484785919112	0
SLX4	0.2927792751545278	0
HSPB11	0.293325856022267	-1
MTHFD1	0.2935303979529212	0
DDX55	0.293728973740567	0
METTL22	0.2938564979484115	0
GTF3C5	0.2940028693264077	0
DHX30	0.2943311528022602	0
CELA1	0.2945250317251014	1
HSPD1	0.2946397495278214	0
FBXO2	0.2951388397475231	0
CCT2	0.2951870279607406	0
AURKA	0.2952807865081421	0
VPS18	0.2955957176556059	0
NDUFA1	0.2957576745968811	0
DDX47	0.2961883558757582	0
FDPS	0.2964717493691066	0
TTC27	0.2981399992077786	0
LRP5	0.2981576875328393	0
PASK	0.2984045845873552	0
NDE1	0.2985032004750692	0
PDS5B	0.2986199622076362	0
AKAP11	0.298828250644344	0
TAF9B	0.2988716216172409	0
