gene	p-value	label
PSMB1	0.109957474123468	0
KCNQ5	0.1099893477816716	0
TRRAP	0.1101912461227785	1
CSTF2T	0.1102547498385513	0
RPS2	0.1110055480909201	0
KCNG2	0.111739599541904	-1
TARBP2	0.1120228131935194	0
DNAJC14	0.1121569714823606	-1
SMG1	0.1123992611606296	0
RAB7A	0.1127297261333931	-1
CNTROB	0.1130226028221353	0
TBC1D2B	0.1130956907328172	0
TXNIP	0.113115460627548	1
PMS2	0.113366221917173	0
SDC3	0.114052520607658	0
PPP2R1A	0.1140946598429731	0
PSMA7	0.1141712770964665	0
RNF14	0.1142767123963823	0
POLR2F	0.1142901624142606	0
SIPA1	0.114349146657852	0
KLC2	0.114394918896492	0
IRF3	0.1155394807709765	0
KCTD12	0.1155832542053323	0
GTF2H3	0.1168733827062121	0
CISH	0.1169561216452795	0
PAPOLG	0.1171278405437275	0
KLHDC3	0.1177462431893664	0
DUSP1	0.1178352823496408	0
RPL18	0.118109599426812	0
PDSS2	0.1184142420246534	0
KCNQ2	0.1188055105437289	0
TEAD1	0.1190578496797187	0
KLHDC4	0.1190788054398236	0
TSC2	0.1191276717912594	1
MORF4L2	0.1192781246085489	-1
NGLY1	0.1202376770885347	0
MAX	0.1205271516215997	0
PRPF4	0.1206381660928134	0
ACTA1	0.1210484662110809	0
PLXNA2	0.1210500427561813	0
SPOCD1	0.1216250890114293	0
RPL10A	0.1222302693847685	0
TELO2	0.1222917454784339	0
LIG1	0.1223815598890932	0
NUB1	0.122528653263063	0
GNPDA1	0.1225774959938494	0
E2F6	0.1226910386974864	-1
LAMC2	0.122782513041568	0
VAV2	0.1229758885591648	0
UBQLN1	0.1230262131600507	0
RAPGEF4	0.1230885851571688	-1
PWWP2A	0.1235699465902901	0
PLCH1	0.1236108136531307	0
DHFR	0.1245133772559304	0
NPM1	0.1245229874834973	0
CUL7	0.1247658826914185	1
UGGT1	0.1247692484583968	0
CHN1	0.1248043713054739	0
SLC4A7	0.1249404821002204	0
CLCNKB	0.1253618528770163	0
SLC7A6	0.1254292729181952	0
RHPN1	0.1254473430516171	0
AMACR	0.125519097597244	0
USP14	0.1258586478721959	0
SAMD11	0.125904024771796	0
EED	0.1265258771229619	0
PSMA2	0.1266026325708381	0
ELK4	0.126784833443067	0
MARVELD3	0.1270442812940322	0
ATP6V1D	0.1272106689076567	0
RGL3	0.1272743291815372	0
WIPF1	0.1278453046047684	0
POLR1D	0.128915362773519	0
PEF1	0.1290980191722339	0
CASK	0.1294145285112746	0
TAF4	0.1295786694455808	0
MSI2	0.1301451378856011	0
FBXW11	0.1302354833136824	0
AP1G1	0.1309036946705495	0
MTOR	0.1312663420428425	1
KCND1	0.1312784863634307	0
ASPH	0.1314426550040996	0
CTPS2	0.1316739207461565	0
DNAJC30	0.131882866448587	0
THBS1	0.1327487283797367	0
ARID1A	0.1329136893697961	1
AGTR1	0.1331310545762918	0
ROCK1	0.1337392697316315	0
OGG1	0.1337633930416992	0
DNAJB1	0.1344532676836605	0
ACACA	0.134614254648368	0
BMI1	0.1349340851764907	0
PARP4	0.134947168435186	0
SOCS7	0.1350539078910378	0
IMMT	0.1353112810894819	0
SHANK1	0.1357034527646664	1
SLC4A8	0.1361802615909818	0
ACAA2	0.1364423198362589	0
RPL32	0.1365035605024219	-1
TRIM21	0.1367771527239775	0
PSMA5	0.1371895160193965	0
AQP1	0.1375420114563283	0
GTF2A1	0.1382539043896914	0
KIF3A	0.1384073978354182	0
ARHGEF28	0.1385360649593972	-1
KCTD21	0.1386316721789235	-1
ABL2	0.1392716561204701	0
PHKA2	0.1400045954414648	0
AMOTL2	0.1400385388148149	0
KCNB2	0.1401121297500522	0
GTF2F1	0.1401355601246554	0
EEF1D	0.1403627354146106	0
SAMD15	0.1411076093426052	0
CHUK	0.1412095804573918	0
BNIP2	0.1415135200738794	0
SPTAN1	0.1415607329115573	0
INSR	0.1416986449553071	0
TEAD3	0.1419896754536925	0
RPLP0	0.1420118480443913	0
CHIT1	0.1420413625486388	-1
TDP2	0.1422151819958345	0
UBAC2	0.1423158161181449	-1
ATG2A	0.142580306992572	0
SLC7A1	0.1426685832960073	0
PDGFRB	0.1426795285440275	0
KCNQ3	0.1434579315244224	0
PSMD14	0.1438805516229873	0
UXS1	0.1440043169671745	0
KCNC1	0.1440223677574493	0
PCCA	0.1440592958350469	0
IFT52	0.1442167640646987	0
KCNC4	0.1455367391943401	0
SLC1A7	0.1456134712763634	0
RNF6	0.1457705435020542	0
COG3	0.1458659141901951	0
FANCA	0.1458890299612824	0
C4orf19	0.1462024030307319	0
DCP2	0.1465176964840236	0
THG1L	0.1468934431084294	-1
RPS18	0.1470767544135124	0
UBE2Z	0.1472572193566807	0
INPP5B	0.1475186030025793	0
SLC4A1	0.1476874938106516	0
EIF3B	0.1478130462461835	0
EXT2	0.1483718760327497	0
MSI1	0.1485897446211582	0
IMPA1	0.1486537828374151	0
RPS4X	0.1487124571132573	0
STRN3	0.1488026638376585	0
TPP1	0.148868544656243	0
